appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,Sexual-content,corrected_owners,total_ratings,multiplayer
2870,X Rebirth,2013-11-15,1,Egosoft,Egosoft,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud,Action;Simulation,Space;Simulation;Sci-fi,69,2832,4032,1744,3386,200000-500000,24.99,0,350000.0,41.25874125874126,0
4230,RACE - The WTCC Game,2006-11-24,1,SimBin,SimBin,windows,0,Single-player;Multi-player,Racing,Racing;Simulation,0,119,43,0,0,200000-500000,25.99,0,350000.0,73.4567901234568,1
7200,Trackmania United Forever Star Edition,2008-04-16,1,Nadeo,Ubisoft,windows,0,Single-player;Multi-player;Includes level editor,Racing,Racing;Multiplayer;Level Editor,0,963,55,4774,4774,100000-200000,25.99,0,150000.0,94.59724950884086,1
21090,F.E.A.R.,2010-05-21,1,"Monolith Productions, Inc.;Timegate",Warner Bros. Interactive Entertainment,windows,18,Single-player,Action,Horror;FPS;Action,0,6371,438,389,498,1000000-2000000,35.96,0,1500000.0,93.56733734762814,0
24010,Train Simulator 2019,2015-09-17,1,Dovetail Games,Dovetail Games - Trains,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Steam Cloud;Steam Leaderboards,Simulation,Simulation;Trains;Singleplayer,1165,8573,5336,287,385,1000000-2000000,34.99,0,1500000.0,61.63635056438277,0
41070,Serious Sam 3: BFE,2011-11-22,1,Croteam,Devolver Digital,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Indie,FPS;Action;Co-op,62,15574,1977,378,215,2000000-5000000,29.99,0,3500000.0,88.73568457637742,1
42700,Call of Duty®: Black Ops,2010-11-08,1,Treyarch,Activision,windows,18,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Valve Anti-Cheat enabled,Action,Action;FPS;Zombies,68,14201,1839,2672,517,2000000-5000000,29.99,0,3500000.0,88.53491271820448,1
47890,The Sims™ 3,2011-01-27,1,The Sims Studio,Electronic Arts,windows,0,Single-player,Simulation,Simulation;Character Customization;Sandbox,0,11679,2493,4730,499,2000000-5000000,24.99,0,3500000.0,82.40897544453853,0
48110,Silent Hunter 5®: Battle of the Atlantic,2010-03-01,1,Ubisoft Romania,Ubisoft,windows,0,Single-player;Multi-player;Co-op,Simulation,Simulation;World War II;Naval,0,516,752,1520,1520,100000-200000,25.99,0,150000.0,40.694006309148264,1
65980,Sid Meier's Civilization®: Beyond Earth™,2014-10-23,1,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),windows;mac;linux,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Strategy,Strategy;Turn-Based Strategy;Sci-fi,90,9555,8224,932,1552,1000000-2000000,29.99,0,1500000.0,53.74318015636425,1
